provinsi,tanggal,AKUMULASI_KASUS,KASUS,AKUMULASI_SEMBUH,SEMBUH,AKUMULASI_MENINGGAL,MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI,DIRAWAT_OR_ISOLASI
SULAWESI SELATAN,2020-03-26,26,14,0,0,1,0,25,14
SULAWESI SELATAN,2020-03-27,28,2,0,0,1,0,27,2
SULAWESI SELATAN,2020-03-28,31,3,0,0,1,0,30,3
SULAWESI SELATAN,2020-03-29,46,15,0,0,1,0,45,15
SULAWESI SELATAN,2020-03-30,50,4,0,0,3,2,47,2
SULAWESI SELATAN,2020-03-31,50,0,0,0,4,1,46,-1
SULAWESI SELATAN,2020-04-01,64,14,0,0,4,0,60,14
SULAWESI SELATAN,2020-04-02,64,0,4,4,6,2,54,-6
SULAWESI SELATAN,2020-04-03,79,15,4,0,6,0,69,15
SULAWESI SELATAN,2020-04-04,79,0,9,5,8,2,62,-7
SULAWESI SELATAN,2020-04-05,81,2,20,11,10,2,51,-11
SULAWESI SELATAN,2020-04-06,110,29,20,0,10,0,80,29
SULAWESI SELATAN,2020-04-07,120,10,22,2,10,0,88,8
SULAWESI SELATAN,2020-04-08,125,5,24,2,11,1,90,2
SULAWESI SELATAN,2020-04-09,131,6,24,0,11,0,96,6
SULAWESI SELATAN,2020-04-10,164,33,24,0,12,1,128,32
SULAWESI SELATAN,2020-04-11,175,11,24,0,18,6,133,5
SULAWESI SELATAN,2020-04-12,220,45,24,0,18,0,178,45
SULAWESI SELATAN,2020-04-13,220,0,30,6,19,1,171,-7
SULAWESI SELATAN,2020-04-14,228,8,34,4,22,3,172,1
SULAWESI SELATAN,2020-04-15,238,10,43,9,23,1,172,0
SULAWESI SELATAN,2020-04-16,265,27,43,0,25,2,197,25
SULAWESI SELATAN,2020-04-17,330,65,45,2,27,2,258,61
SULAWESI SELATAN,2020-04-18,340,10,50,5,29,2,261,3
SULAWESI SELATAN,2020-04-19,367,27,60,10,30,1,277,16
SULAWESI SELATAN,2020-04-20,367,0,69,9,31,1,267,-10
SULAWESI SELATAN,2020-04-21,373,6,69,0,33,2,271,4
SULAWESI SELATAN,2020-04-22,386,13,74,5,33,0,279,8
SULAWESI SELATAN,2020-04-23,396,10,79,5,33,0,284,5
SULAWESI SELATAN,2020-04-24,418,22,80,1,33,0,305,21
SULAWESI SELATAN,2020-04-25,431,13,81,1,34,1,316,11
SULAWESI SELATAN,2020-04-26,439,8,99,18,35,1,305,-11
SULAWESI SELATAN,2020-04-27,439,0,106,7,35,0,298,-7
SULAWESI SELATAN,2020-04-28,452,13,108,2,35,0,309,11
SULAWESI SELATAN,2020-04-29,464,12,118,10,35,0,311,2
SULAWESI SELATAN,2020-04-30,490,26,122,4,35,0,333,22
SULAWESI SELATAN,2020-05-01,546,56,135,13,35,0,376,43
SULAWESI SELATAN,2020-05-02,576,30,145,10,39,4,392,16
SULAWESI SELATAN,2020-05-03,600,24,151,6,39,0,410,18
SULAWESI SELATAN,2020-05-04,606,6,199,48,39,0,368,-42
SULAWESI SELATAN,2020-05-05,639,33,226,27,41,2,372,4
SULAWESI SELATAN,2020-05-06,664,25,233,7,44,3,387,15
SULAWESI SELATAN,2020-05-07,683,19,236,3,45,1,402,15
SULAWESI SELATAN,2020-05-08,707,24,249,13,47,2,411,9
SULAWESI SELATAN,2020-05-09,709,2,258,9,47,0,404,-7
SULAWESI SELATAN,2020-05-10,721,12,264,6,49,2,408,4
SULAWESI SELATAN,2020-05-11,721,0,275,11,50,1,396,-12
SULAWESI SELATAN,2020-05-12,747,26,282,7,50,0,415,19
SULAWESI SELATAN,2020-05-13,801,54,287,5,50,0,464,49
SULAWESI SELATAN,2020-05-14,837,36,292,5,50,0,495,31
SULAWESI SELATAN,2020-05-15,870,33,292,0,50,0,528,33
SULAWESI SELATAN,2020-05-16,916,46,311,19,51,1,554,26
SULAWESI SELATAN,2020-05-17,950,34,318,7,51,0,581,27
SULAWESI SELATAN,2020-05-18,1016,66,336,18,54,3,626,45
SULAWESI SELATAN,2020-05-19,1063,47,357,21,54,0,652,26
SULAWESI SELATAN,2020-05-20,1099,36,366,9,55,1,678,26
SULAWESI SELATAN,2020-05-21,1132,33,397,31,58,3,677,-1
SULAWESI SELATAN,2020-05-22,1203,71,416,19,60,2,727,50
SULAWESI SELATAN,2020-05-23,1260,57,422,6,60,0,778,51
SULAWESI SELATAN,2020-05-24,1292,32,455,33,62,2,775,-3
SULAWESI SELATAN,2020-05-25,1314,22,461,6,65,3,788,13
SULAWESI SELATAN,2020-05-26,1348,34,498,37,67,2,783,-5
SULAWESI SELATAN,2020-05-27,1377,29,517,19,67,0,793,10
SULAWESI SELATAN,2020-05-28,1423,46,519,2,67,0,837,44
SULAWESI SELATAN,2020-05-29,1464,41,531,12,70,3,863,26
SULAWESI SELATAN,2020-05-30,1504,40,562,31,71,1,871,8
SULAWESI SELATAN,2020-05-31,1536,32,594,32,73,2,869,-2
SULAWESI SELATAN,2020-06-01,1581,45,624,30,74,1,883,14
SULAWESI SELATAN,2020-06-02,1624,43,624,0,74,0,926,43
SULAWESI SELATAN,2020-06-03,1661,37,635,11,74,0,952,26
SULAWESI SELATAN,2020-06-04,1715,54,638,3,78,4,999,47
SULAWESI SELATAN,2020-06-05,1768,53,672,34,92,14,1004,5
SULAWESI SELATAN,2020-06-06,1833,65,672,0,92,0,1069,65
SULAWESI SELATAN,2020-06-07,1897,64,672,0,92,0,1133,64
SULAWESI SELATAN,2020-06-08,2006,109,672,0,92,0,1242,109
SULAWESI SELATAN,2020-06-09,2183,177,702,30,95,3,1386,144
SULAWESI SELATAN,2020-06-10,2369,186,755,53,96,1,1518,132
SULAWESI SELATAN,2020-06-11,2501,132,755,0,96,0,1650,132
SULAWESI SELATAN,2020-06-12,2562,61,828,73,108,12,1626,-24
SULAWESI SELATAN,2020-06-13,2688,126,864,36,108,0,1716,90
SULAWESI SELATAN,2020-06-14,2826,138,901,37,114,6,1811,95
SULAWESI SELATAN,2020-06-15,2929,103,1043,142,122,8,1764,-47
SULAWESI SELATAN,2020-06-16,3096,167,1086,43,122,0,1888,124
SULAWESI SELATAN,2020-06-17,3186,90,1102,16,122,0,1962,74
SULAWESI SELATAN,2020-06-18,3352,166,1125,23,122,0,2105,143
SULAWESI SELATAN,2020-06-19,3562,210,1168,43,122,0,2272,167
SULAWESI SELATAN,2020-06-20,3675,113,1244,76,137,15,2294,22
SULAWESI SELATAN,2020-06-21,3785,110,1282,38,137,0,2366,72
SULAWESI SELATAN,2020-06-22,3896,111,1320,38,144,7,2432,66
SULAWESI SELATAN,2020-06-23,4030,134,1362,42,145,1,2523,91
SULAWESI SELATAN,2020-06-24,4167,137,1401,39,151,6,2615,92
SULAWESI SELATAN,2020-06-25,4286,119,1458,57,153,2,2675,60
SULAWESI SELATAN,2020-06-26,4454,168,1614,156,156,3,2684,9
SULAWESI SELATAN,2020-06-27,4603,149,1655,41,159,3,2789,105
SULAWESI SELATAN,2020-06-28,4797,194,1717,62,162,3,2918,129
SULAWESI SELATAN,2020-06-29,4993,196,1769,52,163,1,3061,143
SULAWESI SELATAN,2020-06-30,5083,90,1838,69,167,4,3078,17
SULAWESI SELATAN,2020-07-01,0,0,0,0,0,0,0,0
